Date,Oil_rate,Water_cut,Gas_rate,Tubing_Pressure,Casing_Pressure,Choke_size
2017-01-01,1194.29,0.2476,540.62,2117.06,2725.66,32
2017-01-02,1231.54,0.2425,608.09,2140.62,2716.18,32
2017-01-03,1226.06,0.2473,521.5,2218.82,2741.89,32
2017-01-04,1196.02,0.2379,665.76,2248.75,2801.15,32
2017-01-05,1227.09,0.2282,553.02,2184.99,2741.82,32
2017-01-06,1177.95,0.2547,589.54,2170.35,2783.33,32
2017-01-07,1237.71,0.2658,665.29,2207.89,2625.76,32
2017-01-08,1173.1,0.2441,595.16,2274.69,2701.93,32
2017-01-09,1190.94,0.2532,521.81,2236.15,2772.42,32
2017-01-10,1212.1,0.2444,617.57,2255.2,2973.78,32
2017-01-11,1212.42,0.2648,578.52,2193.63,2850.77,32
2017-01-12,1185.37,0.2339,538.47,2168.62,2764.65,32
2017-01-13,1250.68,0.2787,559.77,2226.56,2969.28,32
2017-01-14,1186.47,0.2513,670.44,2266.31,2657.27,32
2017-01-15,1166.65,0.2386,542.9,2276.82,2790.0,32
2017-01-16,1232.81,0.2287,528.19,2228.93,2846.21,32
2017-01-17,1211.71,0.2864,526.77,2284.55,2792.53,32
2017-01-18,1221.1,0.2814,504.73,2343.0,2945.32,32
2017-01-19,1241.18,0.2696,653.27,2289.59,2695.74,32
2017-01-20,1218.66,0.2441,565.04,2352.26,2915.09,32
2017-01-21,1226.24,0.2652,693.13,2309.34,2907.22,32
2017-01-22,1262.89,0.2581,625.65,2303.54,3003.16,32
2017-01-23,1170.61,0.278,482.84,2341.66,2722.4,32
2017-01-24,1274.61,0.2807,612.37,2240.42,2703.6,32
2017-01-25,1216.41,0.1954,702.73,2369.03,2833.31,32
2017-01-26,1220.23,0.2275,594.41,2352.27,2921.17,32
2017-01-27,1212.28,0.2745,537.86,2388.78,2862.55,32
2017-01-28,1216.11,0.2516,661.84,2269.38,2832.4,32
2017-01-29,1216.32,0.2354,648.84,2372.33,2784.04,32
2017-01-30,1187.47,0.2246,514.55,2364.6,2808.21,32
2017-01-31,1178.86,0.2749,601.51,2367.68,2961.56,32
2017-02-01,1258.31,0.2722,647.48,2372.15,2950.19,32
2017-02-02,1211.95,0.2228,586.04,2247.77,2855.15,32
2017-02-03,1269.97,0.2754,649.94,2347.65,2838.25,32
2017-02-04,1235.11,0.2491,705.17,2374.95,3009.29,32
2017-02-05,1197.02,0.2771,672.66,2398.18,2848.81,32
2017-02-06,1192.7,0.2538,608.8,2345.57,2824.67,32
2017-02-07,1250.25,0.2661,656.8,2387.92,2903.41,32
2017-02-08,1247.55,0.2338,627.42,2289.46,2893.4,32
2017-02-09,1223.43,0.2794,523.11,2325.79,2810.47,32
2017-02-10,1245.96,0.257,669.94,2335.13,2858.17,32
2017-02-11,1249.53,0.2573,530.88,2283.48,2821.78,32
2017-02-12,1187.52,0.2862,584.9,2310.68,2790.76,32
2017-02-13,1236.55,0.2372,666.13,2377.55,2810.98,32
2017-02-14,1239.31,0.2157,629.46,2349.24,2773.52,32
2017-02-15,1207.8,0.2625,524.0,2380.36,2861.89,32
2017-02-16,1221.44,0.2543,543.74,2330.1,2785.19,32
2017-02-17,1243.71,0.2467,562.01,2334.31,2726.38,32
2017-02-18,1240.77,0.2358,509.64,2457.63,2926.17,32
2017-02-19,1241.6,0.3145,610.05,2357.29,2777.74,32
2017-02-20,1236.51,0.2554,666.09,2412.67,2868.27,32
2017-02-21,1225.47,0.2745,584.84,2280.55,3047.34,32
2017-02-22,1241.32,0.2304,621.8,2361.05,2788.91,32
2017-02-23,1233.34,0.2456,660.99,2318.61,2842.9,32
2017-02-24,1267.03,0.2305,651.78,2340.09,2884.72,32
2017-02-25,1229.09,0.263,655.4,2296.07,2740.68,32
2017-02-26,1270.1,0.2602,657.17,2356.3,2914.63,32
2017-02-27,1196.93,0.2949,637.28,2378.82,2966.81,32
2017-02-28,1255.36,0.2407,673.47,2343.46,2847.41,32
2017-03-01,1262.92,0.2507,499.81,2327.34,2839.36,32
2017-03-02,1232.41,0.2805,632.93,2277.16,2797.1,32
2017-03-03,1251.17,0.2246,508.75,2409.56,2791.3,32
2017-03-04,1233.13,0.2768,592.04,2339.73,2921.15,32
2017-03-05,1291.9,0.2613,679.31,2278.92,2882.26,32
2017-03-06,1228.2,0.2434,697.62,2302.22,2819.36,32
2017-03-07,1247.44,0.2475,657.51,2271.76,2846.19,32
2017-03-08,1193.77,0.2745,611.27,2266.93,2725.3,32
2017-03-09,1254.59,0.2458,637.44,2342.0,2910.22,32
2017-03-10,1220.11,0.2855,612.14,2311.29,2802.94,32
2017-03-11,1259.01,0.2683,539.66,2319.87,2756.31,32
2017-03-12,1240.95,0.2493,729.46,2341.41,2709.71,32
2017-03-13,1253.44,0.2376,644.71,2290.93,2728.12,32
2017-03-14,1242.27,0.2374,511.95,2296.18,2772.13,32
2017-03-15,1232.98,0.257,558.34,2341.38,2921.38,32
2017-03-16,1219.29,0.3025,612.74,2214.5,2796.32,32
2017-03-17,1292.37,0.2118,662.5,2274.35,2821.8,32
2017-03-18,1290.27,0.2801,712.59,2200.14,2885.25,32
2017-03-19,1195.17,0.2558,576.63,2155.84,2840.6,32
2017-03-20,1272.83,0.2665,632.25,2113.62,2961.74,32
2017-03-21,1267.16,0.2902,539.34,2237.46,2761.18,32
2017-03-22,1224.29,0.2406,603.2,2290.18,2792.67,32
2017-03-23,1267.85,0.2526,718.85,2268.87,2719.68,32
2017-03-24,1219.6,0.2583,475.31,2211.59,2748.51,32
2017-03-25,1288.79,0.2454,591.41,2202.99,2638.85,32
2017-03-26,1272.85,0.254,683.16,2266.73,2611.37,32
2017-03-27,1227.36,0.2581,666.35,2332.64,2689.79,32
2017-03-28,1219.04,0.2793,602.18,2192.42,2732.86,32
2017-03-29,1232.03,0.2892,528.58,2048.19,2741.4,32
2017-03-30,1270.64,0.2403,621.78,2198.16,2657.77,32
2017-03-31,1235.92,0.2602,628.41,2237.28,2753.82,32
2017-04-01,1274.62,0.2467,668.36,2164.98,2717.89,32
2017-04-02,1236.87,0.2379,528.75,2195.09,2586.74,32
2017-04-03,1263.95,0.2553,650.0,2126.6,2662.81,32
2017-04-04,1251.77,0.2884,638.9,2157.1,2657.2,32
2017-04-05,1250.1,0.1942,707.21,2141.56,2701.39,32
2017-04-06,1249.45,0.2615,582.21,2085.3,2643.79,32
2017-04-07,1232.12,0.2658,601.3,2179.69,2655.17,32
2017-04-08,1280.11,0.2961,735.4,2110.59,2521.65,32
2017-04-09,1276.83,0.2411,702.99,2107.32,2608.17,32
2017-04-10,1229.32,0.2396,743.74,2073.67,2512.84,32
2017-04-11,1253.09,0.2655,618.0,2190.59,2583.09,32
2017-04-12,1247.46,0.2845,564.1,2142.48,2581.27,32
2017-04-13,1228.99,0.2447,673.97,2162.61,2411.05,24
2017-04-14,1223.61,0.2328,641.55,2127.18,2489.44,24
2017-04-15,1241.17,0.2873,610.13,2092.6,2536.48,24
2017-04-16,1233.21,0.2741,566.73,2122.12,2579.02,24
2017-04-17,1235.08,0.2656,663.39,2133.71,2442.72,24
2017-04-18,1228.45,0.2399,608.15,2111.32,2511.94,24
2017-04-19,1199.68,0.2786,594.31,2072.18,2556.52,24
2017-04-20,1235.82,0.256,680.42,2073.92,2544.29,24
2017-04-21,1224.08,0.2793,629.98,2114.82,2516.7,24
2017-04-22,1174.4,0.249,568.53,2092.21,2540.7,24
2017-04-23,1235.03,0.2821,547.08,2101.54,2627.29,24
2017-04-24,1258.76,0.2167,535.0,2069.21,2518.48,24
2017-04-25,1200.15,0.2719,530.16,2070.86,2503.29,24
2017-04-26,1210.2,0.2644,579.98,2056.45,2650.88,24
2017-04-27,1222.3,0.2412,611.45,2036.24,2444.55,24
2017-04-28,1245.81,0.2534,618.4,2022.79,2510.05,24
2017-04-29,1211.95,0.2806,570.33,2024.25,2529.68,24
2017-04-30,1220.04,0.2701,497.95,2073.15,2709.57,24
2017-05-01,1198.94,0.2383,518.58,2052.51,2518.2,24
2017-05-02,1236.78,0.255,635.17,2112.72,2406.5,24
2017-05-03,1226.16,0.2689,562.92,2036.72,2338.54,24
2017-05-04,1208.45,0.2944,657.02,2024.43,2402.77,24
2017-05-05,1217.34,0.2457,658.88,2057.09,2550.27,24
2017-05-06,1211.45,0.2704,605.42,2035.61,2476.96,24
2017-05-07,1206.64,0.2685,591.09,2041.25,2377.6,24
2017-05-08,1197.1,0.2985,616.38,2046.87,2417.92,24
2017-05-09,1212.58,0.2738,488.69,2035.69,2483.15,24
